metabolite,source,sink,exchange_axis,mean_raw_HKD,mean_raw_Control,mean_rank_HKD,mean_rank_Control,detected_HKD,detected_Control,rate_HKD,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_HKD,signature_Control,effect_size_label
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,33598.4,23413.63,0.8234,0.6379,5,2,1.0,0.667,0.521,1.0,0.375,6.6,0.0,0.904,1.0,1.0,0.382,False,False,False,False,False,False,large
ump,Endo_G,Fib,Endo_G→Fib,8954.25,4301.81,0.6993,0.554,5,2,1.0,0.667,1.058,0.8562,0.375,6.6,-0.2,0.804,0.9603,1.0,0.381,False,False,False,False,False,False,large
met_L,C_TAL,PT_S3,C_TAL→PT_S3,2.81,8.48,0.22,0.346,1,1,0.2,0.333,-1.593,0.3806,1.0,0.556,0.467,-0.856,0.6888,1.0,0.381,False,False,False,False,False,False,large
asn_L,Podo,Endo_G,Podo→Endo_G,1128.08,1010.72,0.5462,0.4931,5,2,1.0,0.667,0.158,0.471,0.375,6.6,0.5,0.38,0.7674,1.0,0.366,False,False,False,False,False,False,small
fe2,PC,C_TAL,PC→C_TAL,21266.47,7995.44,0.7586,0.623,5,2,1.0,0.667,1.411,0.8604,0.375,6.6,0.2,0.672,0.9603,1.0,0.347,False,False,False,False,False,False,medium
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,54616.4,32553.39,0.8855,0.869,5,3,1.0,1.0,0.747,0.4248,1.0,1.571,-0.467,0.838,0.708,1.0,0.34,False,False,False,False,False,False,large
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,804.7,910.16,0.5076,0.6,5,3,1.0,1.0,-0.178,0.5074,1.0,1.571,0.333,-0.909,0.7795,1.0,0.33,False,False,False,False,False,False,large
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,993.08,400.08,0.3179,0.5414,2,2,0.4,0.667,1.312,0.6592,1.0,0.429,0.5,-0.854,0.8288,1.0,0.317,False,False,False,False,False,True,large
ascb_L,C_TAL,PC,C_TAL→PC,57282.8,20923.45,0.8062,0.6575,5,2,1.0,0.667,1.453,1.0,0.375,6.6,0.0,0.634,1.0,1.0,0.315,False,False,False,False,False,False,medium
dhdascb,PC,C_TAL,PC→C_TAL,57282.8,20923.45,0.8062,0.6575,5,2,1.0,0.667,1.453,1.0,0.375,6.6,0.0,0.635,1.0,1.0,0.315,False,False,False,False,False,False,medium
pro_L,Fib,MyoFib,Fib→MyoFib,5626.95,0.0,0.3966,0.2299,2,0,0.4,0.0,32.39,1.0,0.4642857142857143,5.0,0.067,0.678,1.0,1.0,0.313,False,False,False,False,False,False,medium
ala_D,iPT,C_TAL,iPT→C_TAL,11963.71,9134.45,0.7228,0.8023,5,3,1.0,1.0,0.389,0.399,1.0,1.571,0.467,-0.641,0.6888,1.0,0.3,False,False,False,False,False,False,medium
nh4,iPT,PT_S1,iPT→PT_S1,40988.25,27063.55,0.8593,0.8391,5,3,1.0,1.0,0.599,0.5346,1.0,1.571,-0.333,0.794,0.7795,1.0,0.294,False,False,False,False,False,False,medium
leu_L,PT_S3,iPT,PT_S3→iPT,150.82,26.9,0.2538,0.3609,1,1,0.2,0.333,2.487,0.3968,1.0,0.556,0.467,-0.526,0.6888,1.0,0.292,False,False,False,False,False,False,medium
nrpphr,PC,iPT,PC→iPT,345.36,69.43,0.269,0.3138,1,1,0.2,0.333,2.315,0.2552,1.0,0.556,0.6,-0.248,0.5996,1.0,0.29,False,False,False,False,False,False,small
ser_D,C_TAL,iPT,C_TAL→iPT,7159.06,0.0,0.369,0.2299,2,0,0.4,0.0,32.737,1.0,0.4642857142857143,5.0,0.067,0.571,1.0,1.0,0.286,False,False,False,False,False,False,medium
gthrd,C_TAL,PC,C_TAL→PC,1990.59,0.0,0.3359,0.2299,2,0,0.4,0.0,30.891,1.0,0.4642857142857143,5.0,0.067,0.543,1.0,1.0,0.279,False,False,False,False,False,False,medium
