metabolite,source,sink,exchange_axis,mean_raw_Diseased,mean_raw_Control,mean_rank_Diseased,mean_rank_Control,detected_Diseased,detected_Control,rate_Diseased,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_Diseased,signature_Control,effect_size_label
atp,C_TAL,PT_S3,C_TAL→PT_S3,525.67,0.0,0.3928,0.2299,5,0,0.455,0.0,28.97,0.6394,0.2582417582417582,5.923,-0.212,0.701,0.9077,1.0,0.458,False,False,False,False,False,False,medium
ac,PT_S3,C_TAL,PT_S3→C_TAL,8286.07,3842.18,0.7335,0.6897,11,3,1.0,1.0,1.109,0.1796,1.0,3.286,-0.545,0.739,0.8948,1.0,0.446,False,False,False,False,False,False,medium
2hb,M_TAL,C_TAL,M_TAL→C_TAL,825.18,1199.37,0.5906,0.5345,11,2,1.0,0.667,-0.539,0.4004,0.21428571428571427,13.8,0.455,0.336,0.8948,1.0,0.44,False,False,False,False,False,False,small
gly,Podo,Endo_G,Podo→Endo_G,1907.04,1589.63,0.6464,0.6989,11,3,1.0,1.0,0.263,0.2216,1.0,3.286,0.515,-0.838,0.8948,1.0,0.439,False,False,False,False,False,False,large
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,62.99,43.79,0.4652,0.5264,11,3,1.0,1.0,0.524,0.2758,1.0,3.286,0.455,-0.961,0.8948,1.0,0.436,False,False,False,False,False,False,large
10fthf6glu,Fib,MyoFib,Fib→MyoFib,13103.13,79599.52,0.6461,0.4885,9,1,0.818,0.333,-2.603,0.8588,0.17582417582417578,6.333,-0.091,0.599,0.9737,1.0,0.434,False,False,False,False,True,False,medium
hdca,C_TAL,GS_Stromal,C_TAL→GS_Stromal,230.65,205.74,0.5041,0.577,11,3,1.0,1.0,0.165,0.3498,1.0,3.286,0.394,-1.085,0.8948,1.0,0.431,False,False,False,False,False,False,large
gthrd,C_TAL,PC,C_TAL→PC,1113.57,0.0,0.3846,0.2299,5,0,0.455,0.0,30.053,0.7738,0.2582417582417582,5.923,-0.152,0.701,0.9509,1.0,0.429,False,False,False,False,False,False,medium
glc_D,PEC,Mes,PEC→Mes,60139.81,46732.86,0.9041,0.892,11,3,1.0,1.0,0.364,0.2626,1.0,3.286,-0.485,0.902,0.8948,1.0,0.429,False,False,False,False,False,False,large
gluampn,Podo,Endo_G,Podo→Endo_G,73275.16,103610.55,0.9172,0.9333,11,3,1.0,1.0,-0.5,0.2262,1.0,3.286,0.515,-0.755,0.8948,1.0,0.415,False,False,False,False,False,False,medium
uri,C_TAL,PC,C_TAL→PC,3643.77,3840.11,0.6169,0.7149,10,3,0.909,1.0,-0.076,0.248,1.0,1.0,0.5,-0.744,0.8948,1.0,0.412,False,False,False,False,False,False,medium
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,106.5,99.28,0.4498,0.531,10,3,0.909,1.0,0.101,0.3384,1.0,1.0,0.4,-0.935,0.8948,1.0,0.412,False,False,False,False,False,False,large
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,17.64,58.02,0.315,0.4816,4,2,0.364,0.667,-1.717,0.5332,0.5384615384615384,0.36,0.5,-0.812,0.8948,1.0,0.411,False,False,False,False,False,True,large
inost,C_TAL,PT_S3,C_TAL→PT_S3,11.17,10.24,0.4053,0.4897,10,3,0.909,1.0,0.125,0.3836,1.0,1.0,0.367,-0.996,0.8948,1.0,0.408,False,False,False,False,False,False,large
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,2183.76,6968.85,0.4953,0.4218,9,1,0.818,0.333,-1.674,0.7724,0.17582417582417578,6.333,-0.152,0.407,0.9509,1.0,0.402,False,False,False,False,True,False,small
mag_hs,Fib,CD4T,Fib→CD4T,5493.89,7599.16,0.689,0.7793,11,3,1.0,1.0,-0.468,0.2796,1.0,3.286,0.455,-0.823,0.8948,1.0,0.399,False,False,False,False,False,False,large
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.34,2.42,0.2335,0.3345,2,1,0.182,0.333,-2.843,0.3692,1.0,0.439,0.394,-0.891,0.8948,1.0,0.397,False,False,False,False,False,False,large
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,611.07,400.08,0.4317,0.5414,8,2,0.727,0.667,0.611,0.174,1.0,1.457,0.75,-0.486,0.8948,1.0,0.396,False,False,False,False,False,False,small
asn_L,Podo,Endo_G,Podo→Endo_G,1164.66,1010.72,0.5492,0.4931,10,2,0.909,0.667,0.205,0.3538,0.3956043956043956,4.2,0.5,0.393,0.8948,1.0,0.393,False,False,False,False,False,False,small
nh4,iPT,PT_S1,iPT→PT_S1,34562.85,27063.55,0.8602,0.8391,11,3,1.0,1.0,0.353,0.3106,1.0,3.286,-0.424,0.847,0.8948,1.0,0.389,False,False,False,False,False,False,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,325609.9,115844.93,0.7708,0.7207,8,2,0.727,0.667,1.491,0.1036,1.0,1.457,-0.625,0.139,0.8948,1.0,0.388,False,False,False,False,False,False,negligible
fe2,PC,C_TAL,PC→C_TAL,31642.52,7995.44,0.7693,0.623,10,2,0.909,0.667,1.985,0.5846,0.3956043956043956,4.2,-0.3,0.654,0.8948,1.0,0.382,False,False,False,False,False,False,medium
gthox,C_TAL,GS_Stromal,C_TAL→GS_Stromal,626.55,910.16,0.5235,0.6,11,3,1.0,1.0,-0.539,0.359,1.0,3.286,0.394,-0.894,0.8948,1.0,0.379,False,False,False,False,False,False,large
ala_D,iPT,C_TAL,iPT→C_TAL,15270.68,9134.45,0.6332,0.8023,9,3,0.818,1.0,0.741,0.3808,1.0,0.543,0.407,-0.788,0.8948,1.0,0.371,False,False,False,False,False,False,medium
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.58,5.45,0.3489,0.3931,8,2,0.727,0.667,0.813,0.2228,1.0,1.457,0.688,-0.484,0.8948,1.0,0.358,False,False,False,False,False,False,small
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,23259.41,46481.09,0.7157,0.6747,9,2,0.818,0.667,-0.999,0.1536,1.0,2.28,0.778,0.152,0.8948,1.0,0.345,False,False,False,False,False,False,negligible
Rtotal,PC,C_TAL,PC→C_TAL,4039.61,4084.88,0.6524,0.7494,10,3,0.909,1.0,-0.016,0.337,1.0,1.0,0.4,-0.66,0.8948,1.0,0.344,False,False,False,False,False,False,medium
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.02,0.05,0.2417,0.3138,2,1,0.182,0.333,-1.131,0.3052,1.0,0.439,0.424,-0.562,0.8948,1.0,0.344,False,False,False,False,False,False,medium
fe3,C_TAL,PC,C_TAL→PC,31642.52,7995.44,0.7693,0.623,10,2,0.909,0.667,1.985,0.7592,0.3956043956043956,4.2,-0.2,0.656,0.9509,1.0,0.343,False,False,False,False,False,False,medium
6thf,Fib,PT_S1,Fib→PT_S1,4275.89,4600.23,0.5364,0.4103,8,1,0.727,0.333,-0.105,0.6698,0.5054945054945055,4.048,-0.182,0.561,0.9077,1.0,0.334,False,False,False,False,True,False,medium
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4684.58,4004.9,0.6978,0.7356,11,3,1.0,1.0,0.226,0.373,1.0,3.286,0.364,-0.699,0.8948,1.0,0.325,False,False,False,False,False,False,medium
for,Podo,Endo_G,Podo→Endo_G,151.14,111.57,0.494,0.5379,11,3,1.0,1.0,0.438,0.4028,1.0,3.286,0.364,-0.682,0.8948,1.0,0.309,False,False,False,False,False,False,medium
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,214583.97,204816.98,0.89,0.9816,10,3,0.909,1.0,0.067,0.3158,1.0,1.0,0.433,-0.448,0.8948,1.0,0.301,False,False,False,False,False,False,small
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,214583.97,204816.98,0.889,0.9816,10,3,0.909,1.0,0.067,0.3202,1.0,1.0,0.433,-0.453,0.8948,1.0,0.3,False,False,False,False,False,False,small
