metabolite,source,sink,exchange_axis,mean_raw_Diseased,mean_raw_Control,mean_rank_Diseased,mean_rank_Control,detected_Diseased,detected_Control,rate_Diseased,rate_Control,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_Diseased,signature_Control,effect_size_label
nrpphr,PC,iPT,PC→iPT,1035.89,69.43,0.3552,0.3138,4,1,0.364,0.333,3.899,0.6586,1.0,1.0,0.212,0.206,0.9077,1.0,0.12,False,False,False,False,False,False,small
ocdca,Mono,Mac,Mono→Mac,7.32,0.0,0.253,0.2299,3,0,0.273,0.0,22.804,0.9844,1.0,2.882,-0.03,0.305,1.0,1.0,0.12,False,False,False,False,False,False,small
tag_hs,CD4T,Mes,CD4T→Mes,20.25,43.95,0.3157,0.3667,5,1,0.455,0.333,-1.118,0.8708,1.0,1.41,0.091,-0.317,0.9737,1.0,0.119,False,False,False,False,False,False,small
thf,C_TAL,MyoFib,C_TAL→MyoFib,2588.88,1534.16,0.395,0.3828,5,1,0.455,0.333,0.755,0.5688,1.0,1.41,0.242,0.054,0.8948,1.0,0.118,False,False,False,False,False,False,negligible
glucyala,PEC,IC,PEC→IC,100248.05,98418.8,0.953,0.9448,11,3,1.0,1.0,0.027,0.7458,1.0,3.286,-0.152,0.29,0.9509,1.0,0.117,False,False,False,False,False,False,small
chol,C_TAL,iPT,C_TAL→iPT,124.63,14.7,0.4379,0.3862,9,2,0.818,0.667,3.084,0.907,1.0,2.28,-0.111,0.318,0.9785,1.0,0.117,False,False,False,False,False,False,small
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,13.78,0.0,0.273,0.2299,3,0,0.273,0.0,23.717,0.976,1.0,2.882,0.03,0.281,1.0,1.0,0.115,False,False,False,False,False,False,small
glu_L,Endo_G,Podo,Endo_G→Podo,104899.12,111163.41,0.9542,0.9471,11,3,1.0,1.0,-0.084,0.852,1.0,3.286,-0.091,0.358,0.9737,1.0,0.114,False,False,False,False,False,False,small
ade,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,2273.19,402.04,0.5887,0.6069,10,3,0.909,1.0,2.499,0.6538,1.0,1.0,-0.2,-0.139,0.9077,1.0,0.113,False,False,False,False,False,False,negligible
cdp,C_TAL,iPT,C_TAL→iPT,80879.33,54889.66,0.7994,0.708,9,2,0.818,0.667,0.559,0.9102,1.0,2.28,0.111,0.306,0.9785,1.0,0.113,False,False,False,False,False,False,small
ctp,PT_S3,C_TAL,PT_S3→C_TAL,27601.51,22878.84,0.7335,0.6414,9,2,0.818,0.667,0.271,1.0,1.0,2.28,0.0,0.348,1.0,1.0,0.11,False,False,False,False,False,False,small
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,43224.98,32553.39,0.8715,0.869,11,3,1.0,1.0,0.409,0.563,1.0,3.286,-0.242,0.062,0.8948,1.0,0.103,False,False,False,False,False,False,negligible
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,809.03,30.84,0.3401,0.3655,4,1,0.364,0.333,4.713,0.6254,1.0,1.0,0.212,-0.104,0.9068,1.0,0.102,False,False,False,False,False,False,negligible
malt,PT_S1,CNT,PT_S1→CNT,2387.86,810.67,0.3991,0.3644,5,1,0.455,0.333,1.559,0.7646,1.0,1.41,0.152,0.163,0.9509,1.0,0.1,False,False,False,False,False,False,negligible
ump,Endo_G,Fib,Endo_G→Fib,8196.8,4301.81,0.6163,0.554,9,2,0.818,0.667,0.93,1.0,1.0,2.28,0.0,0.293,1.0,1.0,0.096,False,False,False,False,False,False,small
pi,PT_S3,C_TAL,PT_S3→C_TAL,17455.79,13800.96,0.8125,0.8161,11,3,1.0,1.0,0.339,0.6586,1.0,3.286,0.212,-0.079,0.9077,1.0,0.083,False,False,False,False,False,False,negligible
met_L,C_TAL,PT_S3,C_TAL→PT_S3,8.55,8.48,0.332,0.346,5,1,0.455,0.333,0.011,0.7422,1.0,1.41,0.152,-0.073,0.9509,1.0,0.082,False,False,False,False,False,False,negligible
pyr,PT_S1,PT_S2,PT_S1→PT_S2,155244.03,131754.07,0.9655,0.9563,11,3,1.0,1.0,0.237,0.9952,1.0,3.286,-0.03,0.31,1.0,1.0,0.078,False,False,False,False,False,False,small
aspglu,Plasma_Cells,Fib,Plasma_Cells→Fib,6796.85,1522.95,0.6871,0.6644,11,3,1.0,1.0,2.158,0.8484,1.0,3.286,0.091,0.201,0.9737,1.0,0.075,False,False,False,False,False,False,small
amp,PT_S3,C_TAL,PT_S3→C_TAL,16880.6,14216.46,0.7536,0.7609,10,3,0.909,1.0,0.248,0.721,1.0,1.0,-0.167,-0.04,0.9509,1.0,0.073,False,False,False,False,False,False,negligible
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,14902.32,404.57,0.4611,0.4885,7,2,0.636,0.667,5.203,0.8912,1.0,1.0,0.143,-0.106,0.9785,1.0,0.049,False,False,False,False,False,False,negligible
gluala,PT_S3,IC,PT_S3→IC,1685.47,630.67,0.4893,0.4678,8,2,0.727,0.667,1.418,1.0,1.0,1.457,0.0,0.122,1.0,1.0,0.039,False,False,False,False,False,False,negligible
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,16672.7,12211.14,0.8094,0.8115,11,3,1.0,1.0,0.449,0.8516,1.0,3.286,0.091,-0.031,0.9737,1.0,0.032,False,False,False,False,False,False,negligible
glyc,PT_S2,PT_S1,PT_S2→PT_S1,100854.03,100194.87,0.9041,0.908,11,3,1.0,1.0,0.009,0.873,1.0,3.286,-0.091,-0.042,0.9737,1.0,0.031,False,False,False,False,False,False,negligible
