metabolite,source,sink,exchange_axis,mean_raw_DKD,mean_raw_HKD,mean_rank_DKD,mean_rank_HKD,detected_DKD,detected_HKD,rate_DKD,rate_HKD,log2fc,perm_p,fisher_p,fisher_or,wilcox_r,cohens_d,perm_q,fisher_q,evidence_score,sig_perm,sig_fisher,significant,sig_fdr,signature_DKD,signature_HKD,effect_size_label
met_L,C_TAL,PT_S3,C_TAL→PT_S3,13.33,2.81,0.4253,0.22,4,1,0.667,0.2,2.245,0.0972,0.24242424242424246,5.4,-0.633,1.276,0.3284,1.0,0.897,False,False,False,False,True,False,large
hco3,Endo_G,Podo,Endo_G→Podo,76911.51,95013.0,0.9506,0.9214,6,5,1.0,1.0,-0.305,0.0468,1.0,1.182,-0.733,1.639,0.2505,1.0,0.875,True,False,True,False,False,False,large
arg_L,C_TAL,PT_S3,C_TAL→PT_S3,398.42,301.91,0.5931,0.4966,6,5,1.0,1.0,0.4,0.029,1.0,1.182,-0.8,1.335,0.2505,1.0,0.872,True,False,True,False,False,False,large
gln_L,PT_S1,PT_S3,PT_S1→PT_S3,4826.65,4514.1,0.7253,0.6648,6,5,1.0,1.0,0.097,0.0378,1.0,1.182,-0.767,1.452,0.2505,1.0,0.861,True,False,True,False,False,False,large
thrglnglu,GS_Stromal,C_TAL,GS_Stromal→C_TAL,10.59,0.0,0.35,0.1779,2,0,0.333,0.0,23.337,0.0512,0.4545454545454546,6.111,-0.7,1.002,0.2505,1.0,0.838,False,False,False,False,False,False,large
trp_L,C_TAL,PT_S3,C_TAL→PT_S3,0.04,0.0,0.2948,0.1779,2,0,0.333,0.0,15.384,0.0598,0.4545454545454546,6.111,-0.7,1.071,0.2505,1.0,0.831,False,False,False,False,False,False,large
his_L,C_TAL,PT_S3,C_TAL→PT_S3,3.2,0.0,0.327,0.1779,2,0,0.333,0.0,21.608,0.0556,0.4545454545454546,6.111,-0.7,1.022,0.2505,1.0,0.83,False,False,False,False,False,False,large
34dhoxpeg,C_TAL,PC,C_TAL→PC,6.22,0.0,0.3293,0.1779,2,0,0.333,0.0,22.569,0.054,0.4545454545454546,6.111,-0.7,0.991,0.2505,1.0,0.827,False,False,False,False,False,False,large
meoh,C_TAL,Fib,C_TAL→Fib,0.34,0.0,0.2971,0.1779,2,0,0.333,0.0,18.39,0.0648,0.4545454545454546,6.111,-0.7,1.069,0.2539,1.0,0.819,False,False,False,False,False,False,large
h2s,MyoFib,C_TAL,MyoFib→C_TAL,10.61,0.0,0.3316,0.1779,2,0,0.333,0.0,23.339,0.0564,0.4545454545454546,6.111,-0.7,0.982,0.2505,1.0,0.818,False,False,False,False,False,False,large
ile_L,C_TAL,PT_S3,C_TAL→PT_S3,18.81,0.0,0.3626,0.1779,2,0,0.333,0.0,24.165,0.0598,0.4545454545454546,6.111,-0.7,0.991,0.2505,1.0,0.811,False,False,False,False,False,False,large
tyrglu,PC,GS_Stromal,PC→GS_Stromal,0.0,0.0,0.2126,0.1779,0,0,0.0,0.0,0.0,0.0588,1.0,0.846,-0.7,1.355,0.2505,1.0,0.769,False,False,False,False,False,False,large
6dhf,CNT,PT_S3,CNT→PT_S3,6100.5,15836.94,0.4529,0.749,3,5,0.5,1.0,-1.376,0.4548,0.1818181818181818,0.091,0.4,-1.536,0.7934,1.0,0.764,False,False,False,False,False,True,large
ncam,iPT,PT_S3,iPT→PT_S3,0.0,0.0,0.2126,0.1779,0,0,0.0,0.0,0.0,0.0622,1.0,0.846,-0.7,1.355,0.2505,1.0,0.761,False,False,False,False,False,False,large
mal_L,C_TAL,PT_S2,C_TAL→PT_S2,292.73,993.08,0.5264,0.3179,6,2,1.0,0.4,-1.762,0.782,0.0606060606060606,18.2,0.167,1.155,0.9299,1.0,0.72,False,False,False,False,True,False,large
acac,Podo,Endo_G,Podo→Endo_G,4168.81,4304.51,0.723,0.6593,6,5,1.0,1.0,-0.046,0.0766,1.0,1.182,-0.667,1.244,0.2923,1.0,0.702,False,False,False,False,False,False,large
fe3,C_TAL,PC,C_TAL→PC,40289.24,21266.47,0.7793,0.7572,5,5,0.833,1.0,0.922,0.0142,1.0,0.333,-0.92,0.105,0.2505,1.0,0.698,True,False,True,False,False,False,negligible
nrpphr,PC,iPT,PC→iPT,1611.33,345.36,0.427,0.269,3,1,0.5,0.2,2.222,0.0836,0.5454545454545454,3.0,-0.667,0.756,0.3006,1.0,0.677,False,False,False,False,True,False,medium
3mhis,Plasma_Cells,C_TAL,Plasma_Cells→C_TAL,0.04,0.0,0.2546,0.1779,1,0,0.167,0.0,15.213,0.0614,1.0,3.0,-0.7,0.906,0.2505,1.0,0.676,False,False,False,False,False,False,large
acald,C_TAL,PEC,C_TAL→PEC,0.86,0.0,0.2615,0.1779,1,0,0.167,0.0,19.706,0.059,1.0,3.0,-0.7,0.864,0.2505,1.0,0.671,False,False,False,False,False,False,large
lac_D,PT_S1,PT_S3,PT_S1→PT_S3,221102.03,451019.34,0.5833,0.9959,3,5,0.5,1.0,-1.028,0.7292,0.1818181818181818,0.091,0.2,-1.432,0.9299,1.0,0.666,False,False,False,False,False,True,large
alaarggly,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,2.36,0.0,0.2707,0.1779,1,0,0.167,0.0,21.172,0.0574,1.0,3.0,-0.7,0.821,0.2505,1.0,0.665,False,False,False,False,False,False,large
hisglnala,C_TAL,IC,C_TAL→IC,0.03,0.0,0.2563,0.1779,1,0,0.167,0.0,14.939,0.0594,1.0,3.0,-0.7,0.841,0.2505,1.0,0.664,False,False,False,False,False,False,large
dtmp,Fib,C_TAL,Fib→C_TAL,1.01,0.0,0.2655,0.1779,1,0,0.167,0.0,19.949,0.0566,1.0,3.0,-0.7,0.8,0.2505,1.0,0.662,False,False,False,False,False,False,medium
5dhf,PT_S1,PT_S3,PT_S1→PT_S3,14772.53,33598.4,0.5787,0.8234,4,5,0.667,1.0,-1.185,0.2128,0.4545454545454545,0.164,0.55,-1.166,0.5413,1.0,0.662,False,False,False,False,False,False,large
cholp,Mono,C_TAL,Mono→C_TAL,1.1,0.0,0.2667,0.1779,1,0,0.167,0.0,20.065,0.0558,1.0,3.0,-0.7,0.795,0.2505,1.0,0.662,False,False,False,False,False,False,medium
aspasnglu,C_TAL,PEC,C_TAL→PEC,1.36,0.0,0.269,0.1779,1,0,0.167,0.0,20.377,0.0558,1.0,3.0,-0.7,0.787,0.2505,1.0,0.66,False,False,False,False,False,False,medium
fmn,Mac,Plasma_Cells,Mac→Plasma_Cells,11.14,0.0,0.2879,0.1779,1,0,0.167,0.0,23.409,0.0542,1.0,3.0,-0.7,0.764,0.2505,1.0,0.659,False,False,False,False,False,False,medium
aspglupro,DCT,C_TAL,DCT→C_TAL,8.49,0.0,0.2644,0.1779,1,0,0.167,0.0,23.018,0.0584,1.0,3.0,-0.7,0.788,0.2505,1.0,0.654,False,False,False,False,False,False,medium
asplysglu,C_TAL,Plasma_Cells,C_TAL→Plasma_Cells,0.16,0.0,0.2609,0.1779,1,0,0.167,0.0,17.325,0.062,1.0,3.0,-0.7,0.819,0.2505,1.0,0.652,False,False,False,False,False,False,large
glumethis,C_TAL,PT_S3,C_TAL→PT_S3,1.43,0.0,0.2609,0.1779,1,0,0.167,0.0,20.448,0.0612,1.0,3.0,-0.7,0.802,0.2505,1.0,0.65,False,False,False,False,False,False,large
gluala,PT_S3,IC,PT_S3→IC,824.58,2718.53,0.3983,0.5986,3,5,0.5,1.0,-1.721,0.7882,0.1818181818181818,0.091,0.2,-1.388,0.9299,1.0,0.643,False,False,False,False,False,True,large
dttp,C_TAL,Fib,C_TAL→Fib,19.46,0.0,0.2943,0.1779,1,0,0.167,0.0,24.214,0.0578,1.0,3.0,-0.7,0.722,0.2505,1.0,0.639,False,False,False,False,False,False,medium
tyrala,C_TAL,CD4T,C_TAL→CD4T,6.48,0.0,0.2839,0.1779,1,0,0.167,0.0,22.628,0.0602,1.0,3.0,-0.7,0.744,0.2505,1.0,0.638,False,False,False,False,False,False,medium
dtdp,Fib,C_TAL,Fib→C_TAL,46.59,0.0,0.3034,0.1779,1,0,0.167,0.0,25.473,0.058,1.0,3.0,-0.7,0.706,0.2505,1.0,0.634,False,False,False,False,False,False,medium
fe2,PC,C_TAL,PC→C_TAL,40289.24,21266.47,0.7782,0.7586,5,5,0.833,1.0,0.922,0.022,1.0,0.333,-0.88,0.093,0.2505,1.0,0.628,True,False,True,False,False,False,negligible
retn,PT_S3,C_TAL,PT_S3→C_TAL,25.66,0.0,0.2977,0.1779,1,0,0.167,0.0,24.613,0.0612,1.0,3.0,-0.7,0.715,0.2505,1.0,0.628,False,False,False,False,False,False,medium
serglyglu,Mono,Plasma_Cells,Mono→Plasma_Cells,1470.83,14.88,0.4305,0.2317,3,1,0.5,0.2,6.627,0.1398,0.5454545454545454,3.0,-0.567,0.87,0.4313,1.0,0.627,False,False,False,False,True,False,large
dopa,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,39627.65,16000.21,0.6443,0.76,4,5,0.667,1.0,1.308,0.0974,0.4545454545454545,0.164,-0.7,-0.478,0.3284,1.0,0.609,False,False,False,False,False,False,small
thr_L,C_TAL,PT_S3,C_TAL→PT_S3,21.67,12.81,0.3902,0.2248,3,1,0.5,0.2,0.758,0.1956,0.5454545454545454,3.0,-0.5,0.911,0.5204,1.0,0.587,False,False,False,False,True,False,large
udp,PC,C_TAL,PC→C_TAL,16147.55,1496.53,0.5937,0.5807,4,5,0.667,1.0,3.432,0.0602,0.4545454545454545,0.164,-0.8,0.057,0.2505,1.0,0.577,False,False,False,False,False,False,negligible
chsterol,PT_S1,Endo_G,PT_S1→Endo_G,9.54,9.62,0.3224,0.3807,3,5,0.5,1.0,-0.011,0.466,0.1818181818181818,0.091,-0.4,-0.747,0.7949,1.0,0.563,False,False,False,False,False,True,medium
cmp,MyoFib,Fib,MyoFib→Fib,8118.7,17254.26,0.5954,0.7917,4,5,0.667,1.0,-1.088,0.2944,0.4545454545454545,0.164,0.5,-0.905,0.6419,1.0,0.548,False,False,False,False,False,False,large
adn,PC,C_TAL,PC→C_TAL,2484.23,1379.79,0.6425,0.5752,6,5,1.0,1.0,0.848,0.1684,1.0,1.182,-0.533,1.071,0.4696,1.0,0.539,False,False,False,False,False,False,large
ttdca,Mono,CD4T,Mono→CD4T,159.08,254.27,0.3615,0.4841,3,5,0.5,1.0,-0.677,1.0,0.1818181818181818,0.091,0.0,-1.116,1.0,1.0,0.539,False,False,False,False,False,True,large
thymd,C_TAL,PT_S3,C_TAL→PT_S3,55.97,8.7,0.5299,0.3931,6,5,1.0,1.0,2.686,0.1648,1.0,1.182,-0.533,1.053,0.4696,1.0,0.537,False,False,False,False,False,False,large
10fthf6glu,Fib,MyoFib,Fib→MyoFib,6782.61,20687.76,0.542,0.771,4,5,0.667,1.0,-1.609,0.4948,0.4545454545454545,0.164,0.3,-1.153,0.8219,1.0,0.531,False,False,False,False,False,False,large
gly,Podo,Endo_G,Podo→Endo_G,1741.12,2106.14,0.6724,0.6152,6,5,1.0,1.0,-0.275,0.1656,1.0,1.182,-0.533,1.016,0.4696,1.0,0.527,False,False,False,False,False,False,large
thym,Mes,VSMC/Pericyte,Mes→VSMC/Pericyte,38.22,10.19,0.5115,0.3959,6,5,1.0,1.0,1.908,0.1974,1.0,1.182,-0.5,1.097,0.5204,1.0,0.521,False,False,False,False,False,False,large
chol,C_TAL,iPT,C_TAL→iPT,142.26,103.48,0.458,0.4138,4,5,0.667,1.0,0.459,0.121,0.4545454545454545,0.164,-0.7,0.249,0.3899,1.0,0.519,False,False,False,False,False,False,small
cdp,C_TAL,iPT,C_TAL→iPT,37631.92,132776.23,0.6839,0.9379,4,5,0.667,1.0,-1.819,0.415,0.4545454545454545,0.164,0.4,-0.989,0.7617,1.0,0.516,False,False,False,False,False,False,large
dhnpt,CD4T,Plasma_Cells,CD4T→Plasma_Cells,10095.73,7028.33,0.4092,0.5869,2,4,0.333,0.8,0.522,0.5332,0.24242424242424246,0.185,-0.5,-0.68,0.8395,1.0,0.489,False,False,False,False,False,True,medium
ahdt,Plasma_Cells,CD4T,Plasma_Cells→CD4T,10095.73,7028.33,0.4092,0.5883,2,4,0.333,0.8,0.522,0.545,0.24242424242424246,0.185,-0.5,-0.686,0.8395,1.0,0.488,False,False,False,False,False,True,medium
cys_L,CD4T,Plasma_Cells,CD4T→Plasma_Cells,65.76,59.65,0.4897,0.4359,6,5,1.0,1.0,0.141,0.2262,1.0,1.182,-0.467,1.044,0.5655,1.0,0.487,False,False,False,False,False,False,large
dgsn,Fib,Plasma_Cells,Fib→Plasma_Cells,29.1,0.05,0.2523,0.2172,1,1,0.167,0.2,9.241,0.085,1.0,0.818,-0.667,0.414,0.3006,1.0,0.483,False,False,False,False,False,False,small
o2s,CNT,IC,CNT→IC,0.0,1312.68,0.2126,0.3676,0,2,0.0,0.4,-30.29,0.9676,0.18181818181818185,0.108,0.033,-0.917,1.0,1.0,0.479,False,False,False,False,False,False,large
cgly,PT_S2,PT_S1,PT_S2→PT_S1,1451.64,1738.24,0.6402,0.5959,6,5,1.0,1.0,-0.26,0.1746,1.0,1.182,-0.533,0.846,0.4777,1.0,0.477,False,False,False,False,False,False,large
dad_2,CD4T,Plasma_Cells,CD4T→Plasma_Cells,223.88,9.79,0.2741,0.2297,1,1,0.167,0.2,4.516,0.084,1.0,0.818,-0.667,0.355,0.3006,1.0,0.47,False,False,False,False,False,False,small
ctp,PT_S3,C_TAL,PT_S3→C_TAL,15272.47,42396.36,0.6333,0.8538,4,5,0.667,1.0,-1.473,0.5526,0.4545454545454545,0.164,0.3,-0.942,0.8395,1.0,0.461,False,False,False,False,False,False,large
for,Podo,Endo_G,Podo→Endo_G,122.83,185.11,0.5172,0.4662,6,5,1.0,1.0,-0.592,0.2734,1.0,1.182,-0.433,0.946,0.6293,1.0,0.434,False,False,False,False,False,False,large
gmp,MyoFib,PT_S3,MyoFib→PT_S3,6706.2,2778.52,0.5506,0.6317,4,5,0.667,1.0,1.271,0.2846,0.4545454545454545,0.164,-0.5,-0.409,0.6411,1.0,0.429,False,False,False,False,False,False,small
tyr_L,PT_S2,PT_S1,PT_S2→PT_S1,208.6,313.5,0.5598,0.4966,6,5,1.0,1.0,-0.588,0.3552,1.0,1.182,-0.367,1.004,0.6792,1.0,0.408,False,False,False,False,False,False,large
cytd,Fib,Plasma_Cells,Fib→Plasma_Cells,1482.25,3025.56,0.4391,0.5628,4,5,0.667,1.0,-1.029,0.7388,0.4545454545454545,0.164,0.2,-0.877,0.9299,1.0,0.401,False,False,False,False,False,False,large
lys_L,Fib,Plasma_Cells,Fib→Plasma_Cells,6.59,252.84,0.2851,0.3766,1,3,0.167,0.6,-5.261,0.6816,0.24242424242424238,0.195,0.167,-0.488,0.9299,1.0,0.399,False,False,False,False,False,True,small
asp_L,IC,PC,IC→PC,1575.25,2669.09,0.6471,0.6097,6,5,1.0,1.0,-0.761,0.2644,1.0,1.182,-0.433,0.752,0.6184,1.0,0.39,False,False,False,False,False,False,medium
ump,Endo_G,Fib,Endo_G→Fib,7565.6,8954.25,0.5471,0.6993,4,5,0.667,1.0,-0.243,0.7168,0.4545454545454545,0.164,0.2,-0.772,0.9299,1.0,0.379,False,False,False,False,False,False,medium
ptrc,C_TAL,iPT,C_TAL→iPT,0.0,670.91,0.2126,0.2697,0,1,0.0,0.2,-29.322,0.3512,0.4545454545454546,0.231,-0.367,-0.412,0.6792,1.0,0.378,False,False,False,False,False,False,small
5thf,C_TAL,iPT,C_TAL→iPT,14061.36,23001.38,0.6052,0.8083,4,5,0.667,1.0,-0.71,0.9492,0.4545454545454545,0.164,0.05,-0.931,1.0,1.0,0.376,False,False,False,False,False,False,large
hxan,Mac,Plasma_Cells,Mac→Plasma_Cells,784.14,964.98,0.5897,0.5448,6,5,1.0,1.0,-0.299,0.319,1.0,1.182,-0.4,0.802,0.6557,1.0,0.374,False,False,False,False,False,False,large
gsn,PT_S1,CNT,PT_S1→CNT,12256.67,10178.92,0.6851,0.7228,5,5,0.833,1.0,0.268,0.15,1.0,0.333,-0.6,-0.228,0.4439,1.0,0.37,False,False,False,False,False,False,small
10fthf5glu,C_TAL,PT_S3,C_TAL→PT_S3,19668.68,27568.29,0.6213,0.829,4,5,0.667,1.0,-0.487,1.0,0.4545454545454545,0.164,0.0,-0.902,1.0,1.0,0.361,False,False,False,False,False,False,large
orot,C_TAL,CD4T,C_TAL→CD4T,669.93,476.46,0.5506,0.5214,6,5,1.0,1.0,0.492,0.322,1.0,1.182,-0.4,0.741,0.6557,1.0,0.358,False,False,False,False,False,False,medium
atp,C_TAL,PT_S3,C_TAL→PT_S3,576.12,465.14,0.3937,0.3917,2,3,0.333,0.6,0.309,0.2014,0.5670995670995672,0.397,-1.0,0.007,0.5215,1.0,0.347,False,False,False,False,False,False,negligible
bhb,PT_S3,VSMC/Pericyte,PT_S3→VSMC/Pericyte,399.67,1261.53,0.4397,0.5117,4,5,0.667,1.0,-1.658,0.5558,0.4545454545454545,0.164,-0.3,-0.477,0.8395,1.0,0.344,False,False,False,False,False,False,small
man,Fib,Podo,Fib→Podo,0.0,136.04,0.2126,0.2566,0,1,0.0,0.2,-27.019,0.445,0.4545454545454546,0.231,-0.3,-0.39,0.7934,1.0,0.336,False,False,False,False,False,False,small
ala_B,C_TAL,PT_S3,C_TAL→PT_S3,0.0,29.65,0.2126,0.2317,0,1,0.0,0.2,-24.821,0.3478,0.4545454545454546,0.231,-0.367,-0.225,0.6792,1.0,0.332,False,False,False,False,False,False,small
leu_L,PT_S3,iPT,PT_S3→iPT,58.86,150.82,0.2615,0.2538,1,1,0.167,0.2,-1.358,0.1298,1.0,0.818,-0.567,0.057,0.4092,1.0,0.33,False,False,False,False,False,False,negligible
creat,iPT,PT_S3,iPT→PT_S3,146.66,117.86,0.381,0.4441,4,5,0.667,1.0,0.315,0.8408,0.4545454545454545,0.164,-0.1,-0.663,0.9451,1.0,0.328,False,False,False,False,False,False,medium
ala_D,iPT,C_TAL,iPT→C_TAL,18026.48,11963.71,0.5586,0.7228,4,5,0.667,1.0,0.591,1.0,0.4545454545454545,0.164,0.0,-0.755,1.0,1.0,0.324,False,False,False,False,False,False,medium
tag_hs,CD4T,Mes,CD4T→Mes,10.99,31.37,0.3069,0.3262,2,3,0.333,0.6,-1.513,0.2966,0.5670995670995672,0.397,-0.667,-0.136,0.6419,1.0,0.32,False,False,False,False,False,True,negligible
phe_L,C_TAL,PT_S3,C_TAL→PT_S3,26.59,10.28,0.4247,0.2752,4,2,0.667,0.4,1.371,1.0,0.5670995670995672,2.52,0.0,0.854,1.0,1.0,0.315,False,False,False,False,True,False,large
pro_L,Fib,MyoFib,Fib→MyoFib,3111.14,5626.95,0.5339,0.3966,4,2,0.667,0.4,-0.855,0.595,0.5670995670995672,2.52,0.375,0.514,0.8627,1.0,0.309,False,False,False,False,True,False,medium
pyr,PT_S1,PT_S2,PT_S1→PT_S2,140769.89,172613.0,0.9575,0.9752,6,5,1.0,1.0,-0.294,0.398,1.0,1.182,0.333,-0.66,0.7399,1.0,0.305,False,False,False,False,False,False,medium
aspmetasp,PT_S3,Endo_Peritubular,PT_S3→Endo_Peritubular,0.54,0.1,0.2489,0.2152,1,1,0.167,0.2,2.49,0.2608,1.0,0.818,-0.433,0.375,0.6184,1.0,0.303,False,False,False,False,False,False,small
4hpro_LT,Endo_G,Fib,Endo_G→Fib,22.37,1.28,0.2534,0.22,1,1,0.167,0.2,4.13,0.249,1.0,0.818,-0.467,0.344,0.6119,1.0,0.302,False,False,False,False,False,False,small
s2l2n2m2masn,MyoFib,Plasma_Cells,MyoFib→Plasma_Cells,0.0,0.0,0.2126,0.2159,0,1,0.0,0.2,-9.685,0.3256,0.4545454545454546,0.231,-0.4,-0.049,0.6557,1.0,0.298,False,False,False,False,False,False,negligible
glnasngln,VSMC/Pericyte,IC,VSMC/Pericyte→IC,1.43,1.67,0.2661,0.2234,1,1,0.167,0.2,-0.223,0.2592,1.0,0.818,-0.433,0.337,0.6184,1.0,0.294,False,False,False,False,False,False,small
gdp,PC,C_TAL,PC→C_TAL,59106.8,39063.44,0.7851,0.8469,5,5,0.833,1.0,0.598,0.2874,1.0,0.333,-0.44,-0.292,0.6411,1.0,0.288,False,False,False,False,False,False,small
prostgf2,GS_Stromal,C_TAL,GS_Stromal→C_TAL,22704.61,5539.57,0.5236,0.3862,4,3,0.667,0.6,2.035,0.3894,1.0,1.286,-0.5,0.513,0.7333,1.0,0.282,False,False,False,False,False,False,medium
glyc,PT_S2,PT_S1,PT_S2→PT_S1,86976.32,117507.29,0.8747,0.9393,6,5,1.0,1.0,-0.434,0.4588,1.0,1.182,0.3,-0.65,0.7934,1.0,0.281,False,False,False,False,False,False,medium
2hb,M_TAL,C_TAL,M_TAL→C_TAL,668.29,1013.45,0.6356,0.5366,6,5,1.0,1.0,-0.601,0.533,1.0,1.182,-0.267,0.722,0.8395,1.0,0.276,False,False,False,False,False,False,medium
hisglu,C_TAL,Fib,C_TAL→Fib,0.0,1.1,0.2126,0.2179,0,1,0.0,0.2,-20.064,0.4596,0.4545454545454546,0.231,-0.3,-0.091,0.7934,1.0,0.257,False,False,False,False,False,False,negligible
gluglu,PT_S1,PT_S2,PT_S1→PT_S2,14133.13,19720.18,0.8172,0.8,6,5,1.0,1.0,-0.481,0.307,1.0,1.182,-0.4,0.239,0.6546,1.0,0.239,False,False,False,False,False,False,small
orn,iPT,C_TAL,iPT→C_TAL,144.35,1085.85,0.3115,0.3848,2,3,0.333,0.6,-2.911,0.7992,0.5670995670995672,0.397,-0.333,-0.404,0.9299,1.0,0.237,False,False,False,False,False,True,small
hisglugln,GS_Stromal,Fib,GS_Stromal→Fib,0.0,0.21,0.2126,0.2124,0,1,0.0,0.2,-17.71,0.4536,0.4545454545454546,0.231,-0.3,0.005,0.7934,1.0,0.237,False,False,False,False,False,False,negligible
ura,C_TAL,PC,C_TAL→PC,8130.28,3730.36,0.6276,0.6028,5,5,0.833,1.0,1.124,0.316,1.0,0.333,-0.44,0.135,0.6557,1.0,0.234,False,False,False,False,False,False,negligible
ocdca,Mono,Mac,Mono→Mac,11.55,2.25,0.2489,0.2579,1,2,0.167,0.4,2.357,0.5684,0.5454545454545454,0.382,-0.233,-0.107,0.841,1.0,0.213,False,False,False,False,False,False,negligible
malt,PT_S1,CNT,PT_S1→CNT,2495.17,2259.09,0.3678,0.4366,2,3,0.333,0.6,0.143,0.8016,0.5670995670995672,0.397,-0.333,-0.305,0.9299,1.0,0.211,False,False,False,False,False,True,small
cit,Endo_G,Podo,Endo_G→Podo,37434.11,51731.3,0.9011,0.8855,6,5,1.0,1.0,-0.467,0.5654,1.0,1.182,-0.233,0.485,0.841,1.0,0.208,False,False,False,False,False,False,small
Rtotal,PC,C_TAL,PC→C_TAL,3445.87,4752.11,0.6305,0.6786,5,5,0.833,1.0,-0.464,0.4988,1.0,0.333,-0.28,-0.296,0.8219,1.0,0.205,False,False,False,False,False,False,small
ala_L,PT_S1,PT_S2,PT_S1→PT_S2,33732.13,54616.4,0.8598,0.8855,6,5,1.0,1.0,-0.695,0.7012,1.0,1.182,0.167,-0.602,0.9299,1.0,0.204,False,False,False,False,False,False,medium
prostge2,C_TAL,GS_Stromal,C_TAL→GS_Stromal,25.27,0.0,0.2966,0.2448,1,2,0.167,0.4,14.025,0.8296,0.5454545454545454,0.382,-0.1,0.297,0.9451,1.0,0.203,False,False,False,False,False,False,small
ppi,C_TAL,GS_Stromal,C_TAL→GS_Stromal,219038.21,209238.88,0.8299,0.9641,5,5,0.833,1.0,0.066,0.8406,1.0,0.333,-0.12,-0.597,0.9451,1.0,0.201,False,False,False,False,False,False,medium
glc_D,PEC,Mes,PEC→Mes,51173.64,70899.21,0.9011,0.9076,6,5,1.0,1.0,-0.47,0.5518,1.0,1.182,0.233,-0.429,0.8395,1.0,0.198,False,False,False,False,False,False,small
sphs1p,C_TAL,PT_S3,C_TAL→PT_S3,73.7,145.86,0.442,0.4593,5,5,0.833,1.0,-0.985,0.4738,1.0,0.333,-0.32,-0.189,0.7988,1.0,0.186,False,False,False,False,False,False,negligible
dgtp,GS_Stromal,C_TAL,GS_Stromal→C_TAL,219038.21,209238.88,0.8264,0.9641,5,5,0.833,1.0,0.066,1.0,1.0,0.333,-0.04,-0.616,1.0,1.0,0.179,False,False,False,False,False,False,medium
dgmp,C_TAL,GS_Stromal,C_TAL→GS_Stromal,219038.21,209238.88,0.8282,0.9641,5,5,0.833,1.0,0.066,1.0,1.0,0.333,-0.04,-0.607,1.0,1.0,0.177,False,False,False,False,False,False,medium
inost,C_TAL,PT_S3,C_TAL→PT_S3,11.44,10.85,0.4132,0.3959,5,5,0.833,1.0,0.077,0.532,1.0,0.333,-0.28,0.196,0.8395,1.0,0.17,False,False,False,False,False,False,negligible
glu_L,Endo_G,Podo,Endo_G→Podo,86724.12,126709.13,0.9506,0.9586,6,5,1.0,1.0,-0.547,0.6338,1.0,1.182,0.2,-0.359,0.8962,1.0,0.159,False,False,False,False,False,False,small
